"filename", "language", "YAML", "Dart", "C++", "Markdown", "HTML", "JSON", "XML", "Properties", "Swift", "Groovy", "comment", "blank", "total"
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\widgets\side_menu.dart", "Dart", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 81
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\widgets\side_menu_item.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\widgets\small_screen.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\widgets\spacer\auto_horizontal_spacer.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\widgets\spacer\auto_vertical_spacer.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\widgets\spacer\custom_horizontal_spacer.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 19
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\widgets\spacer\custom_vertical_spacer.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 19
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\widgets\spacer\large_horizontal_spacer.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\widgets\spacer\large_vertical_spacer.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\widgets\spacer\medium_horizontal_spacer.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\widgets\spacer\medium_vertical_spacer.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\widgets\spacer\small_horizontal_spacer.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\widgets\spacer\small_vertical_spacer.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 16
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\widgets\top_nav.dart", "Dart", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 98
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\widgets\vertical_menu_item.dart", "Dart", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 65
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\pubspec.yaml", "YAML", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 15, 111
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\web\index.html", "HTML", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 17, 6, 102
